file	cid
ape_checks.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
ape_stripped_paths.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
chatgpt_first_riddle_5.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
chatgpt_first_riddle_6.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
chatgpt_first_riddle_9.txt	QmNnooDu7bfjPFoTZYxMNLWUQJyrVwtbZg5gBMjTezGAJN
chatgpt_first_riddle_9.txt	QmNnooDu7bfjPFoTsMNmV5ZgYghuWvVY7Gak3f2QqhHJ1j
chatgpt_first_riddle_9.txt	QmPNmgRmV3rgkfAJkZsb5gbXCbp2KuZfCsakZ7riJPtpX4
chatgpt_first_riddle_9.txt	QmQCU2EcMqAqQPR2i9bChDtGNJchTbq5TbXJJ16u19uLTa
chatgpt_first_riddle_9.txt	QmRuv8Kw8dH4oR3voW9noLgKa6UrHak4hSXFsAypYnn2pf
chatgpt_first_riddle_9.txt	QmaCpDMGvV2BGHeYERUEnRQAwe3N8SzbUtfsmvsqQLuvuJ
chatgpt_first_riddle_9.txt	QmbLHAnMoJPWSCR5Zhtx6BHJX9KiKNN6tpvbUcqanj75Nb
chatgpt_first_riddle_9.txt	QmbcMAqsynEWeoxjDBWLLXzfus8KRAgoHvWxQ4aVcK5fQf
chatgpt_first_riddle_9.txt	QmcZf59bWwK5XFi76CZX8cbJ4BhTzzA3gU1ZjYZcYW3dwt
chatgpt_first_riddle_9.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
chatgpt_first_riddle_9.txt	bafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafyba
chatgpt_first_riddle_9.txt	bafybeiapm25rdyjnm354ssf7fbevlb54vm7q4jlvu5ij3xm2bqezgsfsem
chatgpt_first_riddle_9.txt	bafybeibvdcuqhevxbdhoqkvvehlkfs6x6fhjf6voaqja4zsddopwbpcb5a
chatgpt_first_riddle_9.txt	bafybeigffvsd2bpbuscbmzprirc46jm65advdwxpt34nkrbrdnwjnwlx2q
chatgpt_first_riddle_9.txt	bafybeigffvsd2bpbuscbmzprirc46jm65advdwxpt34nkrbrdnwjnwlx2qrodez
chatgpt_first_riddle_9.txt	bafybeihde3tyutp2tcjowuf35n6xkzmnskvbw6dgnlbor5dv7qe27hanfy
chatgpt_first_riddle_9_1_.txt	QmNnooDu7bfjPFoTZYxMNLWUQJyrVwtbZg5gBMjTezGAJN
chatgpt_first_riddle_9_1_.txt	QmNnooDu7bfjPFoTsMNmV5ZgYghuWvVY7Gak3f2QqhHJ1j
chatgpt_first_riddle_9_1_.txt	QmPNmgRmV3rgkfAJkZsb5gbXCbp2KuZfCsakZ7riJPtpX4
chatgpt_first_riddle_9_1_.txt	QmQCU2EcMqAqQPR2i9bChDtGNJchTbq5TbXJJ16u19uLTa
chatgpt_first_riddle_9_1_.txt	QmRuv8Kw8dH4oR3voW9noLgKa6UrHak4hSXFsAypYnn2pf
chatgpt_first_riddle_9_1_.txt	QmaCpDMGvV2BGHeYERUEnRQAwe3N8SzbUtfsmvsqQLuvuJ
chatgpt_first_riddle_9_1_.txt	QmbLHAnMoJPWSCR5Zhtx6BHJX9KiKNN6tpvbUcqanj75Nb
chatgpt_first_riddle_9_1_.txt	QmbcMAqsynEWeoxjDBWLLXzfus8KRAgoHvWxQ4aVcK5fQf
chatgpt_first_riddle_9_1_.txt	QmcZf59bWwK5XFi76CZX8cbJ4BhTzzA3gU1ZjYZcYW3dwt
chatgpt_first_riddle_9_1_.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
chatgpt_first_riddle_9_1_.txt	bafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafybafyba
chatgpt_first_riddle_9_1_.txt	bafybeiapm25rdyjnm354ssf7fbevlb54vm7q4jlvu5ij3xm2bqezgsfsem
chatgpt_first_riddle_9_1_.txt	bafybeibvdcuqhevxbdhoqkvvehlkfs6x6fhjf6voaqja4zsddopwbpcb5a
chatgpt_first_riddle_9_1_.txt	bafybeigffvsd2bpbuscbmzprirc46jm65advdwxpt34nkrbrdnwjnwlx2q
chatgpt_first_riddle_9_1_.txt	bafybeigffvsd2bpbuscbmzprirc46jm65advdwxpt34nkrbrdnwjnwlx2qrodez
chatgpt_first_riddle_9_1_.txt	bafybeihde3tyutp2tcjowuf35n6xkzmnskvbw6dgnlbor5dv7qe27hanfy
chatgpt_firstriddle_10.txt	QmNnooDu7bfjPFoTZYxMNLWUQJyrVwtbZg5gBMjTezGAJN
chatgpt_firstriddle_10.txt	QmPNmgRmV3rgkfAJkZsb5gbXCbp2KuZfCsakZ7riJPtpX4
chatgpt_firstriddle_10.txt	QmQCU2EcMqAqQPR2i9bChDtGNJchTbq5TbXJJ16u19uLTa
chatgpt_firstriddle_10.txt	QmRuv8Kw8dH4oR3voW9noLgKa6UrHak4hSXFsAypYnn2pf
chatgpt_firstriddle_10.txt	QmaCpDMGvV2BGHeYERUEnRQAwe3N8SzbUtfsmvsqQLuvuJ
chatgpt_firstriddle_10.txt	QmbLHAnMoJPWSCR5Zhtx6BHJX9KiKNN6tpvbUcqanj75Nb
chatgpt_firstriddle_10.txt	QmbcMAqsynEWeoxjDBWLLXzfus8KRAgoHvWxQ4aVcK5fQf
chatgpt_firstriddle_10.txt	QmcZf59bWwK5XFi76CZX8cbJ4BhTzzA3gU1ZjYZcYW3dwt
chatgpt_firstriddle_10.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
chatgpt_firstriddle_10.txt	bafybeiapm25rdyjnm354ssf7fbevlb54vm7q4jlvu5ij3xm2bqezgsfsem
chatgpt_firstriddle_10.txt	bafybeibvdcuqhevxbdhoqkvvehlkfs6x6fhjf6voaqja4zsddopwbpcb5a
chatgpt_firstriddle_10.txt	bafybeigffvsd2bpbuscbmzprirc46jm65advdwxpt34nkrbrdnwjnwlx2q
chatgpt_firstriddle_10.txt	bafybeihde3tyutp2tcjowuf35n6xkzmnskvbw6dgnlbor5dv7qe27hanfy
girhub codex 3 ouput 6.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 3 ouput 8.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 3.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 4.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 6 output1.txt	QmPNmgRmV3rgkfAJkZsb5gbXCbp2KuZfCsakZ7riJPtpX4
girhub codex 6 output1.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 6 output1.txt	bafybeiapm25rdyjnm354ssf7fbevlb54vm7q4jlvu5ij3xm2bqezgsfsem
girhub codex 6 output2.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 6 output3.txt	QmPNmgRmV3rgkfAJkZsb5gbXCbp2KuZfCsakZ7riJPtpX4
girhub codex 6 output3.txt	QmRuv8Kw8dH4oR3voW9noLgKa6UrHak4hSXFsAypYnn2pf
girhub codex 6 output3.txt	QmbcMAqsynEWeoxjDBWLLXzfus8KRAgoHvWxQ4aVcK5fQf
girhub codex 6 output3.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 6 output3.txt	bafybeiapm25rdyjnm354ssf7fbevlb54vm7q4jlvu5ij3xm2bqezgsfsem
girhub codex 6 output3.txt	bafybeibvdcuqhevxbdhoqkvvehlkfs6x6fhjf6voaqja4zsddopwbpcb5a
girhub codex 6 output3.txt	bafybeigffvsd2bpbuscbmzprirc46jm65advdwxpt34nkrbrdnwjnwlx2q
girhub codex 6 output3.txt	bafybeihde3tyutp2tcjowuf35n6xkzmnskvbw6dgnlbor5dv7qe27hanfy
girhub codex 6 output4.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 6 output5.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 6 output6.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub codex 6 output7.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
girhub pre codex 2.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 10 zru merge.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 11 zru merge.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 12 zru merge.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 16 zru merge breakthrough.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 17 zru merge breakthrough.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 18 zru merge breakthrough.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 19 zru merge png redo with public history masked.txt	QmddMfUi8AgsRyqa8MdsWqoCLYmV6kVJ4PYm6uo3iQ7WCV
manifesto replicate 22 zru merge png redo with public history masked.txt	QmNM3ikrNZmbPp8MvTHdNKo4f4tc4eEBqnxPuj3ZYSPibk
manifesto replicate 22 zru merge png redo with public history masked.txt	QmNRAeZbctiHoZ6Y7BBQx7giA5KAxhb7ror9JjzRASBg6W
manifesto replicate 22 zru merge png redo with public history masked.txt	QmNVAptoKSEfFNK6KprsSjv4fUGVQpE2W2bjh48p2vdeRB
manifesto replicate 22 zru merge png redo with public history masked.txt	QmNWimfPrEeg1PtUGKZC9K1qJJeoPiiwgnZMXLshUniUs3
manifesto replicate 22 zru merge png redo with public history masked.txt	QmNbLxh7J3MrWgMUccdqHWw2UiGcm5Gph46fYqbfPGXmJT
manifesto replicate 22 zru merge png redo with public history masked.txt	QmP72ANNxBKCavm98F8zCXNo6X6QHV9MxgTfePB7sFb8WH
manifesto replicate 22 zru merge png redo with public history masked.txt	QmPCyue2As37PcUo3nm32PDX8tthR9GqXxxXr9bCNFM52J
manifesto replicate 22 zru merge png redo with public history masked.txt	QmPN2LJkaECnxYZSSUt1jVzbwVzJAJDSreZKe25TcdwYFb
manifesto replicate 22 zru merge png redo with public history masked.txt	QmPoH5xBhXhYK9jiUsmMbK5xBDVxkNae8AJuyZ8vgoR1YM
manifesto replicate 22 zru merge png redo with public history masked.txt	QmQ3CG3wNdDtJ26AYMDuB77wU7aZNWcuuwGpEysgYdW856
manifesto replicate 22 zru merge png redo with public history masked.txt	QmQ8TNwcbg45oAJCBzvigencJhKJJASz5e8hKooaNp9nhz
manifesto replicate 22 zru merge png redo with public history masked.txt	QmQGsVeZASaKY9ss8DVEV2iPXbdAXAAAnVob3HAD5oZXFN
manifesto replicate 22 zru merge png redo with public history masked.txt	QmQLbtjQzG4PB2pXFg8fe6WPxfXaQJ135u5zs7qpRiJ7aQ
manifesto replicate 22 zru merge png redo with public history masked.txt	QmQwBJHn8TA4FMhy7quyCMuoHemtZ6tM1Xrve5gC5zxZxe
manifesto replicate 22 zru merge png redo with public history masked.txt	QmR6512K5Z2vmkkqP8U9WPyXZBfVg2g9pvmFzmJiGE2o1D
